,2023年上海国际电影节排片表,,,,,,,,,,
ID,中文片名,英文片名,导演,制片国/地区,时长,日期,放映时间,影院,影厅,影院地址,余票
365,雾都孤儿 (4K),Oliver！(4K),卡罗尔·里德,英国,154,6月13日,15:30,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
366,雾都孤儿 (4K),Oliver！(4K),卡罗尔·里德,英国,154,6月14日,15:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
367,摩西的间谍,MOSES' SPIES,伊茨克•勒纳,以色列,81,6月10日,18:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
368,摩西的间谍,MOSES' SPIES,伊茨克•勒纳,以色列,81,6月11日,18:30,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
369,摩西的间谍,MOSES' SPIES,伊茨克•勒纳,以色列,81,6月12日,10:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
370,摩西的间谍,MOSES' SPIES,伊茨克•勒纳,以色列,81,6月15日,18:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
371,最后的冰川 (IMAX),THE LAST GLACIERS (IMAX),克雷格·利森,美国,42,6月9日,18:30,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
372,最后的冰川 (IMAX),THE LAST GLACIERS (IMAX),克雷格·利森,美国,42,6月10日,13:00,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
373,最后的冰川 (IMAX),THE LAST GLACIERS (IMAX),克雷格·利森,美国,42,6月13日,18:30,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
374,最后的冰川 (IMAX),THE LAST GLACIERS (IMAX),克雷格·利森,美国,42,6月16日,18:30,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
375,最后的冰川 (IMAX),THE LAST GLACIERS (IMAX),克雷格·利森,美国,42,6月17日,18:30,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
376,最后的冰川 (IMAX),THE LAST GLACIERS (IMAX),克雷格·利森,美国,42,6月18日,13:00,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
377,银河铁道999 (4K),GALAXY EXPRESS 999 (4K),林太郎,日本,129,6月9日,13:00,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
378,银河铁道999 (4K),GALAXY EXPRESS 999 (4K),林太郎,日本,129,6月11日,13:00,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
379,银河铁道999 (4K),GALAXY EXPRESS 999 (4K),林太郎,日本,129,6月12日,13:00,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
380,银河铁道999 (4K),GALAXY EXPRESS 999 (4K),林太郎,日本,129,6月14日,18:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
381,银河铁道999 (4K),GALAXY EXPRESS 999 (4K),林太郎,日本,129,6月15日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
382,银河铁道999 (4K),GALAXY EXPRESS 999 (4K),林太郎,日本,129,6月18日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
383,再见银河铁道999，安卓梅达终点站 (4K),ADIEU GALAXY EXPRESS 999 (4K),林太郎,日本,131,6月9日,15:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
384,再见银河铁道999，安卓梅达终点站 (4K),ADIEU GALAXY EXPRESS 999 (4K),林太郎,日本,131,6月11日,15:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
385,再见银河铁道999，安卓梅达终点站 (4K),ADIEU GALAXY EXPRESS 999 (4K),林太郎,日本,131,6月12日,15:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
386,再见银河铁道999，安卓梅达终点站 (4K),ADIEU GALAXY EXPRESS 999 (4K),林太郎,日本,131,6月14日,20:40,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
387,再见银河铁道999，安卓梅达终点站 (4K),ADIEU GALAXY EXPRESS 999 (4K),林太郎,日本,131,6月15日,15:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
388,再见银河铁道999，安卓梅达终点站 (4K),ADIEU GALAXY EXPRESS 999 (4K),林太郎,日本,131,6月18日,15:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
389,穿长靴的猫,PUSS’N BOOTS,矢吹公郎,日本,80,6月10日,18:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
390,穿长靴的猫,PUSS’N BOOTS,矢吹公郎,日本,80,6月11日,10:30,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
391,穿长靴的猫,PUSS’N BOOTS,矢吹公郎,日本,80,6月12日,18:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
392,穿长靴的猫,PUSS’N BOOTS,矢吹公郎,日本,80,6月14日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
393,解救李喆洙,FREE CHOL SOO LEE,"茱莉·河, 恩金·伊","美国,韩国",86,6月10日,20:40,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
394,解救李喆洙,FREE CHOL SOO LEE,"茱莉·河, 恩金·伊","美国,韩国",86,6月13日,20:40,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
395,解救李喆洙,FREE CHOL SOO LEE,"茱莉·河, 恩金·伊","美国,韩国",86,6月14日,20:40,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
396,解救李喆洙,FREE CHOL SOO LEE,"茱莉·河, 恩金·伊","美国,韩国",86,6月16日,20:40,CMG融媒影城,4号厅,徐汇区龙文路19号1-4层,50
397,解救李喆洙,FREE CHOL SOO LEE,"茱莉·河, 恩金·伊","美国,韩国",86,6月18日,20:40,上海大光明电影院,2号厅,黄浦区南京西路216号,50
398,一个和四个,ONE AND FOUR,久美成列,中国,88,6月16日,18:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
399,精武门 (4K),FIST OF FURY (4K),罗维,中国香港,107,6月13日,20:40,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
400,精武门 (4K),FIST OF FURY (4K),罗维,中国香港,107,6月17日,20:40,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
401,精武门 (4K),FIST OF FURY (4K),罗维,中国香港,107,6月18日,20:40,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
402,众神的渴望 (4K),PROFOUND DESIRES OF THE GODS (4K),今村昌平,日本,176,6月9日,20:40,上海大光明电影院,1号厅,黄浦区南京西路216号,50
403,众神的渴望 (4K),PROFOUND DESIRES OF THE GODS (4K),今村昌平,日本,176,6月10日,20:40,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
404,众神的渴望 (4K),PROFOUND DESIRES OF THE GODS (4K),今村昌平,日本,176,6月11日,20:40,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
405,众神的渴望 (4K),PROFOUND DESIRES OF THE GODS (4K),今村昌平,日本,176,6月13日,20:40,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
406,众神的渴望 (4K),PROFOUND DESIRES OF THE GODS (4K),今村昌平,日本,176,6月17日,20:40,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,浦东新区世纪大道1192号5楼022商铺,50
407,1983板球世界杯,83,卡比尔·汗,印度,162,6月11日,15:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
408,1983板球世界杯,83,卡比尔·汗,印度,162,6月14日,18:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
409,1983板球世界杯,83,卡比尔·汗,印度,162,6月17日,18:30,上海米格国际影城,巨幕厅,青浦区赵巷镇嘉松中路5999弄51号E区3楼电影院,50
410,1983板球世界杯,83,卡比尔·汗,印度,162,6月18日,15:30,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,50
411,尤妮的婚途,YUNI,卡米拉·安迪妮,"印度尼西亚,新加坡,法国,澳大利亚",96,6月10日,15:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
412,尤妮的婚途,YUNI,卡米拉·安迪妮,"印度尼西亚,新加坡,法国,澳大利亚",96,6月12日,18:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
413,尤妮的婚途,YUNI,卡米拉·安迪妮,"印度尼西亚,新加坡,法国,澳大利亚",96,6月13日,15:30,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
414,没有新郎新娘的婚礼,THE IN-LAWS,雅库布·米哈尔丘克,波兰,83,6月9日,18:30,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
415,没有新郎新娘的婚礼,THE IN-LAWS,雅库布·米哈尔丘克,波兰,83,6月11日,10:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
416,没有新郎新娘的婚礼,THE IN-LAWS,雅库布·米哈尔丘克,波兰,83,6月12日,20:40,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
417,没有新郎新娘的婚礼,THE IN-LAWS,雅库布·米哈尔丘克,波兰,83,6月15日,20:40,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
418,没有新郎新娘的婚礼,THE IN-LAWS,雅库布·米哈尔丘克,波兰,83,6月17日,10:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
419,樱桃园之诱惑,CHERRY ORCHARD,艾哈迈德·赛义德克什米,伊朗,86,6月10日,20:40,上海大光明电影院,2号厅,黄浦区南京西路216号,50
420,樱桃园之诱惑,CHERRY ORCHARD,艾哈迈德·赛义德克什米,伊朗,86,6月11日,20:40,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
421,樱桃园之诱惑,CHERRY ORCHARD,艾哈迈德·赛义德克什米,伊朗,86,6月13日,20:40,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
422,宅心陈情,KATIA AND RIMMA,古利亚·米尔佐耶娃,法国,91,6月10日,13:00,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
423,宅心陈情,KATIA AND RIMMA,古利亚·米尔佐耶娃,法国,91,6月12日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
424,宅心陈情,KATIA AND RIMMA,古利亚·米尔佐耶娃,法国,91,6月15日,18:30,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
425,宅心陈情,KATIA AND RIMMA,古利亚·米尔佐耶娃,法国,91,6月17日,13:00,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,50
426,母矿（4K）,MOTHER LODE（4K）,马特奥·托尔顿,"法国,意大利,瑞士",88,6月9日,13:00,上海大光明电影院,2号厅,黄浦区南京西路216号,50
427,母矿（4K）,MOTHER LODE（4K）,马特奥·托尔顿,"法国,意大利,瑞士",88,6月12日,13:00,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
428,母矿（4K）,MOTHER LODE（4K）,马特奥·托尔顿,"法国,意大利,瑞士",88,6月15日,18:30,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
429,波特兰,POPRAN,上田慎一郎,日本,96,6月10日,10:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
430,波特兰,POPRAN,上田慎一郎,日本,96,6月11日,20:40,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
431,波特兰,POPRAN,上田慎一郎,日本,96,6月14日,18:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
432,不要再见啊，鱼花塘,VIRGIN BLUE,牛小雨,中国,102,6月9日,20:40,上海大光明电影院,2号厅,黄浦区南京西路216号,50
433,不要再见啊，鱼花塘,VIRGIN BLUE,牛小雨,中国,102,6月17日,13:00,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
434,杀人回忆,MEMORY OF MURDER,奉俊昊,韩国,131,6月10日,20:40,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
435,杀人回忆,MEMORY OF MURDER,奉俊昊,韩国,131,6月11日,20:40,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
436,杀人回忆,MEMORY OF MURDER,奉俊昊,韩国,131,6月12日,20:40,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
437,杀人回忆,MEMORY OF MURDER,奉俊昊,韩国,131,6月16日,23:00,上海大光明电影院,1号厅,黄浦区南京西路216号,50
438,杀人回忆,MEMORY OF MURDER,奉俊昊,韩国,131,6月17日,20:40,上海美琪大戏院,观众厅,静安区江宁路66号,50
439,杀人回忆,MEMORY OF MURDER,奉俊昊,韩国,131,6月18日,20:40,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
440,风烛泪,UMBERTO D.,维托里奥·德·西卡,意大利,89,6月10日,18:30,SFC上影国际影城（港城店）,4号厅,浦东新区南汇新城镇茉莉路225弄26号港城新天地A座2楼,50
441,风烛泪,UMBERTO D.,维托里奥·德·西卡,意大利,89,6月12日,18:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
442,风烛泪,UMBERTO D.,维托里奥·德·西卡,意大利,89,6月15日,18:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
443,风烛泪,UMBERTO D.,维托里奥·德·西卡,意大利,89,6月16日,18:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
444,风烛泪,UMBERTO D.,维托里奥·德·西卡,意大利,89,6月18日,18:30,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
445,杨之后 (4K),After Yang (4K),郭共达,美国,96,6月9日,15:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
446,杨之后 (4K),After Yang (4K),郭共达,美国,96,6月12日,10:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
447,杨之后 (4K),After Yang (4K),郭共达,美国,96,6月15日,10:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
448,杨之后 (4K),After Yang (4K),郭共达,美国,96,6月18日,18:30,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
449,半边人 (4K),AH YING (4K),方育平,中国香港,115,6月12日,10:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
450,半边人 (4K),AH YING (4K),方育平,中国香港,115,6月17日,15:30,CMG融媒影城,4号厅,徐汇区龙文路19号1-4层,50
451,半边人 (4K),AH YING (4K),方育平,中国香港,115,6月18日,10:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
452,YUKU和喜马拉雅之花,YUKU AND THE HIMALAYAN FLOWER,"阿诺德·德穆林克, 雷米·杜林","比利时,法国,瑞士",66,6月9日,18:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
453,YUKU和喜马拉雅之花,YUKU AND THE HIMALAYAN FLOWER,"阿诺德·德穆林克, 雷米·杜林","比利时,法国,瑞士",66,6月11日,18:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
454,YUKU和喜马拉雅之花,YUKU AND THE HIMALAYAN FLOWER,"阿诺德·德穆林克, 雷米·杜林","比利时,法国,瑞士",66,6月17日,18:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
455,YUKU和喜马拉雅之花,YUKU AND THE HIMALAYAN FLOWER,"阿诺德·德穆林克, 雷米·杜林","比利时,法国,瑞士",66,6月18日,15:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
456,英雄泪,EMELIANENKO,瓦莉雅·盖伊·格曼妮卡,俄罗斯,92,6月11日,18:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
457,英雄泪,EMELIANENKO,瓦莉雅·盖伊·格曼妮卡,俄罗斯,92,6月13日,20:40,上海大光明电影院,3号厅,黄浦区南京西路216号,50
458,英雄泪,EMELIANENKO,瓦莉雅·盖伊·格曼妮卡,俄罗斯,92,6月16日,18:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
459,二重躯体 (4K),DUAL (4K),莱利·斯特恩斯,美国,95,6月10日,20:40,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
460,二重躯体 (4K),DUAL (4K),莱利·斯特恩斯,美国,95,6月11日,20:40,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
461,二重躯体 (4K),DUAL (4K),莱利·斯特恩斯,美国,95,6月13日,20:40,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
462,二重躯体 (4K),DUAL (4K),莱利·斯特恩斯,美国,95,6月15日,20:40,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
463,二重躯体 (4K),DUAL (4K),莱利·斯特恩斯,美国,95,6月17日,18:30,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
464,教父 (DOLBY VISION),THE GODFATHER (DOLBY VISION),弗朗西斯·福特·科波拉,美国,176,6月9日,13:00,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
465,教父 (DOLBY VISION),THE GODFATHER (DOLBY VISION),弗朗西斯·福特·科波拉,美国,176,6月11日,18:30,万达影城（五角场万达广场IMAX店）,13号杜比影院,"杨浦区国宾路58号五角场万达商业广场3层
",50
466,教父 (DOLBY VISION),THE GODFATHER (DOLBY VISION),弗朗西斯·福特·科波拉,美国,176,6月17日,18:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
467,教父 (DOLBY VISION),THE GODFATHER (DOLBY VISION),弗朗西斯·福特·科波拉,美国,176,6月17日,18:30,红星电影世界上海吴中路旗舰店,11号杜比影院,闵行区吴中路1588号爱琴海购物公园7楼,50
468,英雄本色 (4K),A BETTER TOMORROW (4K),吴宇森,中国香港,97,6月9日,18:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
469,英雄本色 (4K),A BETTER TOMORROW (4K),吴宇森,中国香港,97,6月10日,18:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
470,英雄本色 (4K),A BETTER TOMORROW (4K),吴宇森,中国香港,97,6月11日,13:00,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
471,英雄本色 (4K),A BETTER TOMORROW (4K),吴宇森,中国香港,97,6月16日,18:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
472,只属于我们的鬼怪,OUR GHOSTS,亚历山德罗·卡皮塔尼,意大利,100,6月12日,20:40,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
473,只属于我们的鬼怪,OUR GHOSTS,亚历山德罗·卡皮塔尼,意大利,100,6月14日,20:40,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
474,只属于我们的鬼怪,OUR GHOSTS,亚历山德罗·卡皮塔尼,意大利,100,6月16日,20:40,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
475,只属于我们的鬼怪,OUR GHOSTS,亚历山德罗·卡皮塔尼,意大利,100,6月17日,20:40,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
476,只属于我们的鬼怪,OUR GHOSTS,亚历山德罗·卡皮塔尼,意大利,100,6月18日,20:40,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,50
477,城市纹理,SKIN,马科斯·皮门特尔,巴西,76,6月10日,13:00,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
478,城市纹理,SKIN,马科斯·皮门特尔,巴西,76,6月11日,10:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
479,城市纹理,SKIN,马科斯·皮门特尔,巴西,76,6月14日,18:30,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
480,城市纹理,SKIN,马科斯·皮门特尔,巴西,76,6月17日,13:00,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
481,城市纹理,SKIN,马科斯·皮门特尔,巴西,76,6月18日,13:00,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
482,急救,SANITATEM,米夏埃尔·克莱因费尔德,德国,96,6月15日,18:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
483,急救,SANITATEM,米夏埃尔·克莱因费尔德,德国,96,6月16日,18:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
484,急救,SANITATEM,米夏埃尔·克莱因费尔德,德国,96,6月18日,13:00,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
485,寻心之旅,JOURNEY TO YOURLAND,彼得·布金斯基,"斯洛伐克,比利时,捷克",85,6月10日,15:30,嘉定影剧院,三号剧院大厅,嘉定区城中路149号,50
486,寻心之旅,JOURNEY TO YOURLAND,彼得·布金斯基,"斯洛伐克,比利时,捷克",85,6月11日,13:00,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
487,寻心之旅,JOURNEY TO YOURLAND,彼得·布金斯基,"斯洛伐克,比利时,捷克",85,6月17日,13:00,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
488,寻心之旅,JOURNEY TO YOURLAND,彼得·布金斯基,"斯洛伐克,比利时,捷克",85,6月18日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
489,小猪哼唧,OINK,玛莎·哈伯斯塔德,"荷兰,比利时",73,6月10日,13:00,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
490,小猪哼唧,OINK,玛莎·哈伯斯塔德,"荷兰,比利时",73,6月11日,18:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
491,小猪哼唧,OINK,玛莎·哈伯斯塔德,"荷兰,比利时",73,6月17日,13:00,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
492,小猪哼唧,OINK,玛莎·哈伯斯塔德,"荷兰,比利时",73,6月18日,15:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
493,惠子，凝视,"SMALL, SLOW BUT STEADY",三宅唱,"日本,法国",100,6月9日,13:00,上海大光明电影院,1号厅,黄浦区南京西路216号,50
494,惠子，凝视,"SMALL, SLOW BUT STEADY",三宅唱,"日本,法国",100,6月12日,13:00,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
495,惠子，凝视,"SMALL, SLOW BUT STEADY",三宅唱,"日本,法国",100,6月14日,13:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
496,惠子，凝视,"SMALL, SLOW BUT STEADY",三宅唱,"日本,法国",100,6月16日,13:00,上海美琪大戏院,观众厅,静安区江宁路66号,50
497,惠子，凝视,"SMALL, SLOW BUT STEADY",三宅唱,"日本,法国",100,6月18日,15:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
498,楼,BUILDING,雎安奇,中国,87,6月14日,20:40,上海大光明电影院,2号厅,黄浦区南京西路216号,50
499,楼,BUILDING,雎安奇,中国,87,6月15日,20:40,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
500,楼,BUILDING,雎安奇,中国,87,6月18日,8:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
501,再见，乐园,FAREWELL MY HOMETOWN,王尔卓,中国,90,6月9日,15:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
502,再见，乐园,FAREWELL MY HOMETOWN,王尔卓,中国,90,6月17日,18:30,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,浦东新区世纪大道1192号5楼022商铺,50
503,萨瓦流淌的方向,THE STORAGE,陈丹燕,"中国,塞尔维亚",93,6月11日,15:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
504,萨瓦流淌的方向,THE STORAGE,陈丹燕,"中国,塞尔维亚",93,6月17日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
505,史塔西喜剧,A STASI COMEDY,林德·豪尔曼,德国,116,6月12日,20:40,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
506,史塔西喜剧,A STASI COMEDY,林德·豪尔曼,德国,116,6月15日,20:40,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
507,史塔西喜剧,A STASI COMEDY,林德·豪尔曼,德国,116,6月16日,20:40,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
508,史塔西喜剧,A STASI COMEDY,林德·豪尔曼,德国,116,6月17日,20:40,黄浦剧场,中剧场,黄浦区北京东路780号,50
509,海豚男孩,DOLPHIN BOY,穆罕默德•科赫让迪丝,"伊朗,土耳其",85,6月10日,18:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
510,海豚男孩,DOLPHIN BOY,穆罕默德•科赫让迪丝,"伊朗,土耳其",85,6月11日,13:00,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
511,海豚男孩,DOLPHIN BOY,穆罕默德•科赫让迪丝,"伊朗,土耳其",85,6月17日,18:30,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
512,海豚男孩,DOLPHIN BOY,穆罕默德•科赫让迪丝,"伊朗,土耳其",85,6月18日,10:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
513,少女与马,LEAP  OF FAITH,杨荔钠,中国,102,6月11日,20:40,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
